323	0.749693	3.133159	0.231698	0.063224	1	0.017863	0.070041	0.058093	0.148839	1465.484863	5.162115	109.64756	0.294921
324	0.724491	3.124605	0.260152	0.076099	1	0.027216	0.083121	0.070601	0.169858	1136.974365	5.561087	124.28315	0.336251
325	0.753121	3.10996	0.229217	0.081919	1	0.01913	0.073779	0.061199	0.137524	1525.096924	5.318678	106.847275	0.311136
326	0.746693	3.126568	0.241503	0.064342	0.87	0.020926	0.075168	0.06349	0.149753	1349.388306	6.495139	94.491554	0.305844
327	0.77163	3.13518	0.209691	0.05468	0.99	0.012597	0.067464	0.057294	0.117144	1997.693359	5.64221	79.892845	0.264371
328	0.771194	3.151141	0.217632	0.049697	0.99	0.013638	0.066707	0.056115	0.10995	1713.170776	5.813249	83.110443	0.267329
329	0.756473	3.168862	0.195495	0.031776	0.68	0.010431	0.063239	0.052136	0.085395	1651.154785	7.283293	53.020763	0.227271
330	0.770421	3.173086	0.173021	0.027823	0.99	0.008012	0.054198	0.042104	0.07896	1382.785767	6.239902	47.989372	0.200845
331	0	0	0	0	0	0	0	0	0	0	0	0	0
332	0	0	0	0	0	0	0	0	0	0	0	0	0
333	0	0	0	0	0	0	0	0	0	0	0	0	0
334	0	0	0	0	0	0	0	0	0	0	0	0	0
335	0	0	0	0	0	0	0	0	0	0	0	0	0
336	0	0	0	0	0	0	0	0	0	0	0	0	0
337	0	0	0	0	0	0	0	0	0	0	0	0	0
338	0	0	0	0	0	0	0	0	0	0	0	0	0
339	0	0	0	0	0	0	0	0	0	0	0	0	0
340	0	0	0	0	0	0	0	0	0	0	0	0	0
341	0	0	0	0	0	0	0	0	0	0	0	0	0
342	0	0	0	0	0	0	0	0	0	0	0	0	0
343	0	0	0	0	0	0	0	0	0	0	0	0	0
344	0	0	0	0	0	0	0	0	0	0	0	0	0
345	0	0	0	0	0	0	0	0	0	0	0	0	0
346	0	0	0	0	0	0	0	0	0	0	0	0	0
347	0	0	0	0	0	0	0	0	0	0	0	0	0
348	0	0	0	0	0	0	0	0	0	0	0	0	0
349	0	0	0	0	0	0	0	0	0	0	0	0	0
350	0	0	0	0	0	0	0	0	0	0	0	0	0
351	0	0	0	0	0	0	0	0	0	0	0	0	0
352	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	0	0	0	0	0	0	0	0
355	0	0	0	0	0	0	0	0	0	0	0	0	0
356	0	0	0	0	0	0	0	0	0	0	0	0	0
357	0	0	0	0	0	0	0	0	0	0	0	0	0
358	0	0	0	0	0	0	0	0	0	0	0	0	0
359	0	0	0	0	0	0	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	0	0	0	0	0
361	0	0	0	0	0	0	0	0	0	0	0	0	0
362	0	0	0	0	0	0	0	0	0	0	0	0	0
363	0	0	0	0	0	0	0	0	0	0	0	0	0
364	0	0	0	0	0	0	0	0	0	0	0	0	0
365	0	0	0	0	0	0	0	0	0	0	0	0	0
366	0	0	0	0	0	0	0	0	0	0	0	0	0
367	0.759855	3.032139	0.251669	0.158258	1	0.024891	0.08518	0.074029	0.088151	1830.255859	1.623964	394.189209	0.409927
368	0.784205	2.987071	0.25334	0.205244	1	0.032793	0.091629	0.082464	0.142114	1427.703003	3.1281	286.851654	0.458584
369	0.818911	2.859568	0.208547	0.276307	1	0.039355	0.094567	0.080888	0.1379	1523.817993	2.138937	448.573517	0.484855
370	0.885543	2.735007	0.144229	0.236007	1	0.019934	0.078449	0.067811	0.099834	2362.485352	1.986584	297.036957	0.380237
371	0.871844	2.612336	0.163505	0.221565	1	0.022816	0.076858	0.066322	0.111074	2024.557495	2.530254	244.683624	0.385069
372	0.797721	2.475375	0.335564	0.23878	1	0.048164	0.111657	0.100568	0.114137	1289.106445	1.38062	705.387756	0.574344
373	0.748677	2.378641	0.401393	0.267635	0.98	0.055055	0.142898	0.14127	0.14449	1065.403687	1.265332	991.826721	0.669029
374	0.771286	2.257327	0.376872	0.312331	0.96	0.056771	0.148235	0.142183	0.153724	1073.528076	1.011404	1031.766724	0.689203
375	0.73669	2.126251	0.411739	0.242988	0.97	0.049484	0.137074	0.12039	0.135395	883.580322	1.856319	937.246948	0.654727
376	0.611794	2.030711	0.5339	0.178376	1	0.096045	0.157534	0.136415	0.220399	713.798157	3.241565	852.225769	0.712276
377	0.612412	1.930051	0.44397	0.171291	1	0.092002	0.128169	0.112983	0.186758	839.869141	2.673093	735.593262	0.615261
378	0.59745	1.847891	0.432262	0.163739	1	0.083065	0.132468	0.112601	0.190733	972.614685	3.295311	599.95459	0.596001
379	0.629961	1.731764	0.417388	0.19981	0.92	0.050346	0.146109	0.125194	0.234864	952.068359	3.47989	566.037048	0.617198
380	0.645445	1.637375	0.377655	0.240195	0.99	0.048704	0.129471	0.109388	0.213803	1031.612915	2.55915	667.890991	0.61785
381	0.715579	1.516703	0.277682	0.323907	1	0.055665	0.10835	0.091577	0.150527	1178.999512	2.544586	538.069885	0.601589
382	0.724358	1.545636	0.271942	0.280423	1	0.041458	0.106546	0.098188	0.144324	1332.268555	2.317464	525.109009	0.552364
383	0.817033	1.545489	0.186924	0.28385	1	0.046403	0.098344	0.084473	0.150969	1265.970093	3.076044	348.526459	0.470773
384	0.82152	1.555603	0.191935	0.313717	1	0.04109	0.103634	0.090675	0.149617	1413.695923	2.141042	465.70816	0.505652
385	0.869505	1.698912	0.166662	0.165062	1	0.01401	0.064059	0.055409	0.077416	2392.150879	2.03801	199.357635	0.331724
